,Charity_Legal_Name,Address_Line_1,Town_City,State,Postcode,Country,Charity_Website,Advancing_Education,Promoting_or_protecting_human_rights,Advancing_social_or_public_welfare,Children,Families,Females,Financially_Disadvantaged,Males,People_at_risk_of_homelessness
44,Newhope Baptist Pre-School Inc,3 Springfield Road,Blackburn North,VIC,3130,Australia,https://www.newhopepreschool.net/,Y,,,,Y,,,,
45,AGUCON NOT-FOR-PROFIT CHARITY ORGANISATION INCORPORATED,177 Greaves St N,Werribee,Victoria,3030,Australia,https://www.aguconorg.com,,,Y,Y,Y,Y,,Y,Y
46,The Dodge Family Foundation,80-82 River St,South Yarra,Victoria,3141,Australia,,,,,,Y,,Y,,
47,Melbourne Tram Museum Inc.,8 Wallen Rd,Hawthorn,Victoria,3122,Australia,www.trammuseum.org.au,,,,Y,,,,,
48,St Kilda Mums,14 Winterton Rd,Clayton,Victoria,3168,Australia,https://www.stkildamums.org,,,Y,Y,Y,,,,
49,Nagambie Rsl Sub-Branch,360 High St,Nagambie,Victoria,3608,Australia,http://www.rslvic.com.au/rsl-network/victorian-map-of-all-branches/nagambie/,,,,,,,,,
50,SJD Foundation Ballarat Inc,,,,,Australia,www.sjdfoundationballarat.com,,,Y,Y,Y,Y,,Y,
51,Victoria's Heritage Restoration Fund Inc,6 Parliament Place,East Melbourne,VIC,3002,Australia,www.vhrf.com.au,,,,,,,,,
52,Indonesian Christian Family Church,224 Danks Street,Albert Park,VIC,3206,Australia,www.ensamplechurch.org,,,,Y,Y,Y,,Y,
53,The Trustee For The Thomas Memorial Fund,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,,,,,,,,,
54,HALT (Hope Assistance Local Tradies),Room 40,Castlemaine,VIC,3450,Australia,www.halt.org.au,Y,,,,Y,Y,,Y,
55,The Gwen & Edna Jones Foundation,199 Koroit Street,WARRNAMBOOL,VIC,3280,Australia,,,,,,,,,,
56,Uca - Winchelsea,30-32 Hesse St,Winchelsea,Victoria,3241,Australia,,,,,,Y,Y,,Y,
57,Harrietville Television Committee Inc,54 Bon Accord Trk,Harrietville,Victoria,3741,Australia,,,,,,Y,,,,
58,Community Information & Support Victoria Inc,L 9 Se 907 343 Little Collins St,Melbourne,Victoria,3000,Australia,www.cisvic.org.au,,,Y,,Y,,Y,,
59,Oakleigh Church of Christ,43 Warrigal Rd,Hughesdale,Victoria,3166,Australia,http://oakleighchurch.org.au,,,,,Y,Y,,Y,
60,South Melbourne Life Saving Club Inc,72B Beaconsfield Parade,Albert Park,VIC,3206,Australia,https://www.southmelbournelsc.com.au,,,,Y,,Y,Y,Y,
61,Mustard Leadership Australia Inc,12 John St,Kew,Victoria,3101,Australia,http://www.mustard.org.au,,,,,,,,,
62,Greek Orthooox Archdiocese Ofaustralia Parish Of Coburg And Pascoevale,29 VICTORIA STREET,COBURG,VIC,3058,AUSTRALIA,,,,,,,,,,
63,St Marys Catholic Church,Clegg Road,Mount Evelyn,VIC,3796,,https://www.stmarysmtevelyn.org.au,,,,Y,Y,Y,Y,Y,Y
64,VOF Charity Incorporated,16-18 High St,Frankston,Victoria,3199,Australia,,,,Y,,,Y,Y,Y,Y
65,Hope Christian Church Melbourne Inc,U 3 29 Business Park Dr,Notting Hill,Victoria,3168,Australia,www.hopemelbourne.com,,,,Y,Y,Y,,Y,
66,Gr8Motive Aboriginal and Torres Strait Islander Corporation,2/3 Windarra Street,Woree,QLD,4868,Australia,https://www.gr8motive.org.au/,,,Y,,,,,,
67,Montmorency Community Church,24 Mayona Rd,Montmorency,Victoria,3094,Australia,www.montycc.org,,,,,Y,,,,
68,The Game Face Game Changer Incorporated,,,,,Australia,http://gamefaceon.com.au/game-changer/,Y,,,Y,Y,Y,Y,Y,Y
69,Tian Ci Xiang Zhen Holy Dao Association Inc,,,,,Australia,,,,,,,,,,
70,The Parish Of St John The Evangelist Epping,,,,,Australia,www.epping.melbourneanglican.org.au,,,,,,,,,
71,MENTONE RSL SUB-BRANCH PATRIOTIC FUND,ANZAC House 4 Collins Street,MELBOURNE,VIC,3000,,,,,Y,,,,,,
72,Bendigo Diocesan Trusts Corporation,PO Box 2,Bendigo,VIC,3552,,www.bendigoanglican.org.au,,,,,,,,,
73,Keeping Charlotte's Promise Wildlife Shelter Incorporated,125 Mckays Rd,Langwarrin,Victoria,3910,Australia,https://www.kcpwildlifeshelter.org.au,,,,,,Y,,Y,
74,The Every Life Matters (ELM) Network,30 Templeton St,Castlemaine,Victoria,3450,Australia,https://www.cch.org.au/elm/,,,,Y,Y,Y,Y,Y,Y
75,St Finbar's Catholic Church Brighton East,86 Centre Road,East Brighton,VIC,3187,,http://pol.org.au/brightoneast,,,,Y,Y,Y,Y,Y,Y
76,Farm Road Pre School Inc,Farm Road Pre School,Cheltenham,Victoria,3192,Australia,www.farmroadpreschool.com.au,Y,,,,Y,,,,
77,Hardware Foundation,U 2 13 Monash Ave,Balwyn,Victoria,3103,Australia,hardwarefoundation.org.au,Y,,Y,Y,Y,Y,Y,Y,Y
78,Northern District Community Health,24 Fitzroy Street,Kerang,VIC,3579,Australia,http://www.ndch.org.au,,,Y,Y,Y,Y,Y,Y,Y
79,Broadford Presbyterian Church,51-53 High St,Broadford,VIC,3658,Australia,https://www.broadfordpc.org.au,,,,Y,Y,Y,,Y,
80,THE TRUSTEE FOR COOPERSMITH FAMILY FOUNDATION,,,,,,,,,,,,,,,
81,Camberwell Baptist Church Kindergarten,1a Wills St,Hawthorn East,Victoria,3123,Australia,,Y,,,,,,,,
82,Iglesia De La Profecia Nueva Rosa De Saron Inc,6 Henderson Street,Sunshine North,VIC,3020,Australia,,,,,,,,,,
83,The Mill Incorporated,154 Angas St,Adelaide,South Australia,5000,Australia,www.themilladelaide.com,,,,Y,,Y,Y,Y,
84,"""Lucky Stars Australia"" Transplant Cricket Inc.",,,,,,,,,,,,,,,
85,International Full Gospel Fellowship Gereja Injil Seutuh International Victoria Inc,16-18 Cromwell St,Collingwood,Victoria,3066,Australia,https://ifgfmelbourne.company.site,,,,Y,Y,Y,,Y,
86,North West Multiple Birth Club Inc,,,,,Australia,http://www.nwmbc.org.au,Y,,,,Y,Y,,,
87,Ha'Tzofim Australia Inc,140-146 Darlinghurst Rd,Darlinghurst,New South Wales,2010,Australia,hatzofim.org.au,Y,,Y,Y,,,,,
88,Holy Eucharist and St Mary's Malvern East,91 Manning Road,Malvern East,VIC,3145,Australia,www.cam.org.au/malverneast,,,,Y,Y,,,,
89,GOSPEL BAPTIST CHURCH AUSTRALIA,559-561 Whitehorse Rd,Mitcham,Victoria,3132,Australia,,,,,,,,,,
90,Lyric Opera of Melbourne Inc,Po Box 236,Collins Street West,Victoria,8007,Australia,https://www.lyricopera.com.au/,,,,,,,,,
91,Safeheart Foundation Ltd,"suite 44, 7 Meridian Pl",Bella Vista,New South Wales,2153,Australia,https://safeheart.mbhf.com.au/,,,Y,Y,Y,Y,Y,Y,Y
92,Health Assist Limited,22 Wilpena Place,Vermont South,Victoria,3133,Australia,https://healthassist.org.au,,,,,,Y,Y,Y,
93,Australian Friends Of Boys Town Jerusalem Limited,,,,,,www.btj.org.au,Y,,Y,,,,,,
94,Cornella Local Area Plan Implementation Committee,971 Corop-wanalta Rd,Burramboot,Victoria,3559,Australia,,,,,Y,,Y,,Y,
95,Kalbarri Kindergarten Inc.,Kalbarri Kingergarten,Portland,Victoria,3305,Australia,,Y,,,,Y,,,,
