,Region,Suburb,Housing_Type,Median Price - Last Quarter,Forecasted Price,Difference,Percentage Difference
1398,Southern Melbourne,Brighton East,All properties,750.0,733.66,-16.340000000000032,-2.18
1399,Southern Melbourne,Carnegie,All properties,400.0,410.15,10.149999999999975,2.54
1400,Southern Melbourne,Caulfield,All properties,430.0,422.87,-7.129999999999996,-1.66
1401,Southern Melbourne,Cheltenham,All properties,495.0,471.55,-23.44999999999999,-4.74
1402,Southern Melbourne,Elsternwick,All properties,450.0,444.7,-5.300000000000011,-1.18
1403,Southern Melbourne,Hampton,All properties,600.0,585.35,-14.649999999999975,-2.44
1404,Southern Melbourne,Beaumaris,All properties,600.0,585.35,-14.649999999999975,-2.44
1405,Southern Melbourne,Malvern,All properties,460.0,460.2,0.1999999999999886,0.04
1406,Southern Melbourne,Malvern East,All properties,400.0,412.41,12.410000000000023,3.1
1407,Southern Melbourne,Mentone,All properties,450.0,439.7,-10.300000000000011,-2.29
1408,Southern Melbourne,Parkdale,All properties,450.0,439.7,-10.300000000000011,-2.29
1409,Southern Melbourne,Mordialloc,All properties,450.0,439.7,-10.300000000000011,-2.29
1410,Southern Melbourne,Murrumbeena,All properties,420.0,419.01,-0.9900000000000092,-0.24
1411,Southern Melbourne,Hughesdale,All properties,420.0,419.01,-0.9900000000000092,-0.24
1412,Outer Western Melbourne,Altona,All properties,415.0,400.15,-14.850000000000025,-3.58
1413,Outer Western Melbourne,Footscray,All properties,380.0,375.05,-4.949999999999989,-1.3
1414,Outer Western Melbourne,Keilor East,All properties,410.0,417.85,7.850000000000023,1.91
1415,Outer Western Melbourne,Avondale Heights,All properties,410.0,417.85,7.850000000000023,1.91
1416,Outer Western Melbourne,Melton,All properties,360.0,351.4,-8.600000000000023,-2.39
1417,Outer Western Melbourne,Newport,All properties,495.0,496.79,1.7900000000000205,0.36
1418,Outer Western Melbourne,Spotswood,All properties,495.0,496.79,1.7900000000000205,0.36
1419,Outer Western Melbourne,St Albans,All properties,360.0,359.8,-0.1999999999999886,-0.06
1420,Outer Western Melbourne,Deer Park,All properties,360.0,359.8,-0.1999999999999886,-0.06
1421,Outer Western Melbourne,Sunshine,All properties,360.0,359.9,-0.1000000000000227,-0.03
1422,Outer Western Melbourne,Sydenham,All properties,415.0,409.8,-5.199999999999989,-1.25
1423,Outer Western Melbourne,Werribee,All properties,380.0,375.7,-4.300000000000011,-1.13
1424,Outer Western Melbourne,Hoppers Crossing,All properties,380.0,375.7,-4.300000000000011,-1.13
1425,Outer Western Melbourne,West Footscray,All properties,405.0,400.64,-4.360000000000014,-1.08
1426,Outer Western Melbourne,Williamstown,All properties,520.0,520.8,0.7999999999999545,0.15
1427,Outer Western Melbourne,Yarraville,All properties,475.0,491.35,16.350000000000023,3.44
1428,Outer Western Melbourne,Seddon,All properties,475.0,491.35,16.350000000000023,3.44
1429,North Western Melbourne,Broadmeadows,All properties,380.0,369.68,-10.319999999999991,-2.72
1430,North Western Melbourne,Roxburgh Park,All properties,380.0,369.68,-10.319999999999991,-2.72
1431,North Western Melbourne,Brunswick,All properties,450.0,448.5,-1.5,-0.33
1432,North Western Melbourne,Coburg,All properties,450.0,450.5,0.5,0.11
1433,North Western Melbourne,Pascoe Vale South,All properties,450.0,450.5,0.5,0.11
1434,North Western Melbourne,Craigieburn,All properties,410.0,406.1,-3.899999999999977,-0.95
1435,North Western Melbourne,Brunswick East,All properties,425.0,424.83,-0.1700000000000159,-0.04
1436,North Western Melbourne,Essendon,All properties,400.0,410.34,10.339999999999977,2.58
1437,North Western Melbourne,Gladstone Park,All properties,410.0,394.18,-15.819999999999991,-3.86
1438,North Western Melbourne,Tullamarine,All properties,410.0,394.18,-15.819999999999991,-3.86
1439,North Western Melbourne,Keilor,All properties,450.0,441.55,-8.449999999999989,-1.88
1440,North Western Melbourne,Moonee Ponds,All properties,430.0,425.3,-4.699999999999989,-1.09
1441,North Western Melbourne,Ascot Vale,All properties,430.0,425.3,-4.699999999999989,-1.09
1442,North Western Melbourne,Oak Park,All properties,392.0,393.32,1.3199999999999932,0.34
1443,North Western Melbourne,Glenroy,All properties,392.0,393.32,1.3199999999999932,0.34
1444,North Western Melbourne,Fawkner,All properties,392.0,393.32,1.3199999999999932,0.34
1445,North Western Melbourne,Pascoe Vale,All properties,420.0,418.6,-1.3999999999999773,-0.33
1446,North Western Melbourne,Coburg North,All properties,420.0,418.6,-1.3999999999999773,-0.33
1447,North Western Melbourne,Sunbury,All properties,400.0,386.4,-13.600000000000025,-3.4
1448,North Western Melbourne,Brunswick West,All properties,370.0,368.2,-1.8000000000000114,-0.49
1449,North Eastern Melbourne,Bundoora,All properties,420.0,412.75,-7.25,-1.73
1450,North Eastern Melbourne,Greensborough,All properties,420.0,412.75,-7.25,-1.73
1451,North Eastern Melbourne,Hurstbridge,All properties,420.0,412.75,-7.25,-1.73
1452,North Eastern Melbourne,Eltham,All properties,500.0,486.75,-13.25,-2.65
1453,North Eastern Melbourne,Research,All properties,500.0,486.75,-13.25,-2.65
1454,North Eastern Melbourne,Montmorency,All properties,500.0,486.75,-13.25,-2.65
